country,DebtBondage_cnt,TakesEarnings_cnt,RestrictsFinancialAccess_cnt,Threats_cnt,PsychologicalAbuse_cnt,PhysicalAbuse_cnt,SexualAbuse_cnt,FalsePromises_cnt,PsychoactiveSubstances_cnt,RestrictsMovement_cnt,RestrictsMedicalCare_cnt,ExcessiveWorkingHours_cnt,UsesChildren_cnt,ThreatOfLawEnforcement_cnt,WithholdsNecessities_cnt,WithholdsDocuments_cnt,Other_cnt,meansofcontrol_total,latitude,longitude,name
AE,1.07,13.37,0.0,3.21,10.16,4.81,0.53,9.63,0.0,12.3,4.28,16.04,0.0,1.6,8.02,14.97,0.0,187,23.424076,53.847818000000004,United Arab Emirates
AF,7.5,2.5,0.0,0.0,5.0,2.5,0.0,80.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,40,33.93911,67.709953,Afghanistan
BY,0.0,0.0,0.0,16.95,28.81,16.95,30.51,3.39,1.69,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,53.709807,27.953389,Belarus
CN,1.69,0.85,0.0,6.78,1.69,3.39,11.86,27.12,0.0,19.49,2.54,0.85,0.0,0.0,0.0,5.08,18.64,118,35.86166,104.195397,China
EG,0.0,0.0,0.0,15.94,17.39,15.94,0.0,10.14,0.0,1.45,13.04,0.0,0.0,0.0,11.59,0.0,14.49,69,26.820553000000004,30.802497999999996,Egypt
HK,6.67,6.67,0.0,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.0,6.67,6.67,6.67,6.67,465,22.396428,114.10949699999999,Hong Kong
HT,0.0,0.0,0.0,0.0,29.97,34.53,0.0,19.22,0.0,0.0,0.33,15.64,0.0,0.0,0.33,0.0,0.0,307,18.971187,-72.28521500000001,Haiti
ID,0.69,11.22,0.0,3.05,10.25,4.16,0.0,12.19,0.42,13.57,4.85,14.13,0.0,0.0,8.59,9.14,7.76,722,-0.789275,113.921327,Indonesia
JO,0.2,10.16,0.0,8.13,7.52,10.37,1.42,4.67,0.0,11.59,5.89,14.02,0.0,3.86,7.32,14.84,0.0,492,30.585164000000002,36.238414,Jordan
KH,6.63,6.63,0.0,6.73,6.63,6.63,6.99,6.63,6.63,6.63,6.63,6.63,0.0,6.63,6.63,6.63,6.69,13962,12.565679,104.990963,Cambodia
KZ,5.72,11.9,0.0,10.53,7.89,6.98,1.49,11.9,0.23,10.64,7.89,8.81,0.0,2.29,8.01,5.72,0.0,874,48.019573,66.923684,Kazakhstan
LB,2.89,6.82,0.0,5.77,10.5,8.66,0.79,13.39,0.26,10.24,3.41,12.07,0.0,3.67,8.4,13.12,0.0,381,33.854721000000005,35.862285,Lebanon
MY,6.71,6.53,0.0,6.59,6.59,6.65,6.53,7.13,6.53,6.77,6.53,6.59,0.0,6.53,6.53,6.83,7.01,1655,4.210483999999999,101.97576600000001,Malaysia
PL,9.11,10.1,0.0,11.09,11.68,5.54,0.0,11.29,0.0,11.49,6.14,11.29,0.0,0.0,1.19,11.09,0.0,505,51.919438,19.145135999999997,Poland
RU,4.34,11.75,0.0,9.16,10.84,5.55,0.17,11.58,0.18,10.16,6.69,11.42,0.0,3.92,4.07,10.09,0.08,11032,61.52401,105.31875600000001,Russia
SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,23.885942,45.079162,Saudi Arabia
TH,6.67,6.67,0.0,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.0,6.67,6.67,6.67,6.67,165,15.870032,100.992541,Thailand
TR,16.67,0.0,0.0,16.67,16.67,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,6,38.963745,35.243322,Turkey
TT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1,10.691803,-61.222503,Trinidad and Tobago
UA,6.05,8.13,0.0,8.59,8.92,8.43,6.55,9.93,3.71,8.89,6.2,7.7,0.0,4.9,4.09,7.88,0.03,3936,48.379433,31.16558,Ukraine
UG,0.0,7.94,0.0,15.08,16.67,22.22,0.0,31.75,0.0,0.79,0.79,0.0,0.0,0.0,0.0,0.0,4.76,126,1.373333,32.290275,Uganda
US,2.99,6.42,0.79,12.39,13.9,11.49,5.44,3.37,9.48,13.3,0.69,1.5,0.74,2.18,3.83,2.35,9.14,22305,37.09024,-95.712891,United States
VN,6.67,6.67,0.0,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.0,6.67,6.67,6.67,6.67,240,14.058323999999999,108.277199,Vietnam
